Código;Banco
33;Banco Santander (Brasil) S.A.
743;Banco Semear S.A.
754;Banco Sistema S.A.
630;Banco Smartbank S.A.
366;Banco Société Générale Brasil S.A.
637;Banco Sofisa S.A.
464;Banco Sumitomo Mitsui Brasileiro S.A.
82;Banco Topázio S.A.
;Banco Toyota do Brasil S.A.
634;Banco Triângulo S.A.
18;Banco Tricury S.A.
;Banco Vipal S.A.
;Banco Volkswagen S.A.
655;Banco Votorantim S.A.
610;Banco VR S.A.
119;Banco Western Union do Brasil S.A.
124;Banco Woori Bank do Brasil S.A.
348;Banco Xp S/A
;Banco Yamaha Motor do Brasil S.A.
81;BancoSeguro S.A.
21;BANESTES S.A. Banco do Estado do Espírito Santo
755;Bank of America Merrill Lynch Banco Múltiplo S.A.
268;Barigui Companhia Hipotecária
;BB Banco de Investimento S.A.
250;BCV – Banco de Crédito e Varejo S.A.
144;BEXS Banco de Câmbio S.A.
253;Bexs Corretora de Câmbio S/A
134;Bgc Liquidez Dtvm Ltda
;BMW Financeira S.A. – Crédito, Financiamento e Investimento
17;BNY Mellon Banco S.A.
301;Bpp Instituição De Pagamentos S.A
126;BR Partners Banco de Investimento S.A.
70;BRB – Banco de Brasília S.A.
92;Brickell S.A. Crédito, Financiamento e Investimento
173;BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.
142;Broker Brasil Cc Ltda
292;BS2 Distribuidora de Títulos e Valores Mobiliários S.A.
;BV Financeira S.A. – Crédito, Financiamento e Investimento
11;C.Suisse Hedging-Griffo Cv S.A (Credit Suisse)
104;Caixa Econômica Federal
288;Carol Distribuidora de Títulos e Valor Mobiliários Ltda
130;Caruana Scfi
159;Casa Credito S.A
;CCB Brasil S.A. – Crédito, Financiamentos e Investimentos
16;Ccm Desp Trâns Sc E Rs
89;Ccr Reg Mogiana
114;Central Cooperativa De Crédito No Estado Do Espírito Santo
114-7;Central das Cooperativas de Economia e Crédito Mútuo doEstado do Espírito Santo Ltda.
320;China Construction Bank (Brasil) Banco Múltiplo S.A.
477;Citibank N.A.
180;Cm Capital Markets Cctvm Ltda
127;Codepe Cvc S.A
163;Commerzbank Brasil S.A. – Banco Múltiplo
60;Confidence Cc S.A
85;Coop Central Ailos
97;Cooperativa Central de Crédito Noroeste Brasileiro Ltda.
085-x;Cooperativa Central de Crédito Urbano-CECRED
090-2;Cooperativa Central de Economia e Crédito Mutuo – SICOOB UNIMAIS
087-6;Cooperativa Central de Economia e Crédito Mútuo das Unicredsde Santa Catarina e Paraná
089-2;Cooperativa de Crédito Rural da Região da Mogiana
286;Cooperativa de Crédito Rural De Ouro
279;Cooperativa de Crédito Rural de Primavera Do Leste
273;Cooperativa de Crédito Rural de São Miguel do Oeste – Sulcredi/São Miguel
98;Credialiança Ccr
098-1;CREDIALIANÇA COOPERATIVA DE CRÉDITO RURAL
10;Credicoamo
133;Cresol Confederação
182;Dacasa Financeira S/A
487;Deutsche Bank S.A. – Banco Alemão
140;Easynvest – Título Cv S.A
149;Facta S.A. Cfi
;Finamax S.A. – Crédito, Financiamento e Investimento
285;Frente Corretora de Câmbio Ltda.
278;Genial Investimentos Corretora de Valores Mobiliários S.A.
138;Get Money Cc Ltda
64;Goldman Sachs do Brasil Banco Múltiplo S.A.
177;Guide Investimentos S.A. Corretora de Valores
146;Guitta Corretora de Câmbio Ltda
78;Haitong Banco de Investimento do Brasil S.A.
62;Hipercard Banco Múltiplo S.A.
189;HS Financeira S/A Crédito, Financiamento e Investimentos
269;HSBC Brasil S.A. – Banco de Investimento
271;IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.
157;Icap Do Brasil Ctvm Ltda
132;ICBC do Brasil Banco Múltiplo S.A.
492;ING Bank N.V.
139;Intesa Sanpaolo Brasil S.A. – Banco Múltiplo
652;Itaú Unibanco Holding S.A.
341;Itaú Unibanco S.A.
488;JPMorgan Chase Bank, National Association
399;Kirton Bank S.A. – Banco Múltiplo
293;Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.
105;Lecca Crédito, Financiamento e Investimento S/A
145;Levycam Ccv Ltda
113;Magliano S.A
323;Mercado Pago – Conta Do Mercado Livre
128;MS Bank S.A. Banco de Câmbio
137;Multimoney Cc Ltda
14;Natixis Brasil S.A. Banco Múltiplo
191;Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.
753;Novo Banco Continental S.A. – Banco Múltiplo
260;Nu Pagamentos S.A (Nubank)
613;Omni Banco S.A.
290;Pagseguro Internet S.A
254;Paraná Banco S.A.
326;Parati – Crédito Financiamento e Investimento S.A.
194;Parmetal Distribuidora de Títulos e Valores Mobiliários Ltda
174;Pernambucanas Financ S.A
100;Planner Corretora De Valores S.A
125;Plural S.A. – Banco Múltiplo
93;Pólocred Scmepp Ltda
108;Portocred S.A
;PortoSeg S.A. – Crédito, Financiamento e Investimento
283;Rb Capital Investimentos Dtvm Ltda
;Redecard S.A.
101;Renascenca Dtvm Ltda
270;Sagitur Corretora de Câmbio Ltda.
;Santana S.A. – Crédito, Financiamento e Investimento
;Santinvest S.A – Crédito, Financiamento e Investimentos
;Scania Banco S.A.
751;Scotiabank Brasil S.A. Banco Múltiplo
276;Senff S.A. – Crédito, Financiamento e Investimento
545;Senso Ccvm S.A
190;Servicoop
183;Socred S.A
299;Sorocred Crédito, Financiamento e Investimento S.A.
118;Standard Chartered Bank (Brasil) S/A–Bco Invest.
197;Stone Pagamentos S.A
340;Super Pagamentos e Administração de Meios Eletrônicos S.A.
95;Travelex Banco de Câmbio S.A.
143;Treviso Corretora de Câmbio S.A.
131;Tullett Prebon Brasil Cvc Ltda
129;UBS Brasil Banco de Investimento S.A.
091-4;Unicred Central do Rio Grande do Sul
91;Unicred Central Rs
136;Unicred Cooperativa
99;UNIPRIME Central – Central Interestadual de Cooperativas de Crédito Ltda.
84;Uniprime Norte do Paraná – Coop de Economia eCrédito Mútuo dos Médicos, Profissionais das Ciências
298;Vips Cc Ltda
;Volvo Administradora de Consórcio LTDA.
310;Vortx Distribuidora de Títulos e Valores Mobiliários Ltda
102;Xp Investimentos S.A
